,Unnamed: 0,Year,Leading Cause,Sex,Race Ethnicity,Deaths,Death Rate,Age Adjusted Death Rate
36,36,2013,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,White Non-Hispanic,204,15.2,13.6
37,37,2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Asian and Pacific Islander,456,85.6,117.7
38,38,2012,Influenza (Flu) and Pneumonia (J09-J18),M,Not Stated/Unknown,11,10000,10000
39,39,2010,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Asian and Pacific Islander,394,70.1,89.7
40,40,2009,"Essential Hypertension and Renal Diseases (I10, I12)",F,White Non-Hispanic,215,15,7.8
41,41,2013,Diabetes Mellitus (E10-E14),M,Black Non-Hispanic,300,35,41.1
42,42,2008,Malignant Neoplasms (Cancer: C00-C97),F,Asian and Pacific Islander,344,64.6,73.8
43,43,2014,Chronic Lower Respiratory Diseases (J40-J47),M,Asian and Pacific Islander,95,16.6,22.9
44,44,2009,"Essential Hypertension and Renal Diseases (I10, I12)",F,Other Race/ Ethnicity,0,10000,10000
45,45,2014,Malignant Neoplasms (Cancer: C00-C97),F,Other Race/ Ethnicity,66,10000,10000
46,46,2012,Cerebrovascular Disease (Stroke: I60-I69),M,White Non-Hispanic,285,21.3,17.6
47,47,2011,Diabetes Mellitus (E10-E14),M,Asian and Pacific Islander,60,11.4,14.3
48,48,2008,Influenza (Flu) and Pneumonia (J09-J18),M,Hispanic,187,16.9,35.5
49,49,2012,"Essential Hypertension and Renal Diseases (I10, I12)",F,White Non-Hispanic,199,14,7.2
50,50,2010,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Other Race/ Ethnicity,0,10000,10000
51,51,2010,Chronic Lower Respiratory Diseases (J40-J47),M,Hispanic,149,13,23.9
52,52,2008,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Hispanic,68,5.8,6.6
53,53,2008,Influenza (Flu) and Pneumonia (J09-J18),F,Hispanic,227,19.2,25.5
54,54,2007,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,White Non-Hispanic,187,14,12.7
55,55,2011,Parkinson's Disease (G20),F,Not Stated/Unknown,0,10000,10000
56,56,2007,Malignant Neoplasms (Cancer: C00-C97),M,Other Race/ Ethnicity,29,10000,10000
57,57,2014,Influenza (Flu) and Pneumonia (J09-J18),M,Black Non-Hispanic,242,28,33.9
58,58,2009,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Black Non-Hispanic,2068,243.5,318.9
59,59,2013,"Essential Hypertension and Renal Diseases (I10, I12)",M,Not Stated/Unknown,15,10000,10000
60,60,2013,Chronic Lower Respiratory Diseases (J40-J47),F,Asian and Pacific Islander,27,4.5,5.2
61,61,2010,Septicemia (A40-A41),F,White Non-Hispanic,107,7.5,4.3
62,62,2014,"Essential Hypertension and Renal Diseases (I10, I12)",M,White Non-Hispanic,175,13,10.5
63,63,2014,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",M,Asian and Pacific Islander,28,4.9,5.8
64,64,2007,Chronic Lower Respiratory Diseases (J40-J47),M,Not Stated/Unknown,0,10000,10000
65,65,2008,Chronic Lower Respiratory Diseases (J40-J47),M,Asian and Pacific Islander,46,9.2,16.1
66,66,2007,Cerebrovascular Disease (Stroke: I60-I69),M,Hispanic,126,11.6,20
67,67,2013,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Black Non-Hispanic,2365,226.4,187.3
68,68,2013,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,White Non-Hispanic,271,20.1,17.9
69,69,2010,Certain Conditions originating in the Perinatal Period (P00-P96),M,Not Stated/Unknown,6,10000,10000
70,70,2012,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Hispanic,103,8.8,10.1
71,71,2010,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",F,Asian and Pacific Islander,17,3,2.9
72,72,2011,All Other Causes,M,White Non-Hispanic,2165,162.3,139.5
73,73,2013,All Other Causes,F,Other Race/ Ethnicity,39,10000,10000
74,74,2007,Diabetes Mellitus (E10-E14),M,Hispanic,177,16.2,27.6
75,75,2009,Certain Conditions originating in the Perinatal Period (P00-P96),M,Not Stated/Unknown,8,10000,10000
76,76,2008,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Not Stated/Unknown,13,10000,10000
77,77,2010,Diabetes Mellitus (E10-E14),F,Hispanic,219,18,21.5
78,78,2010,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Other Race/ Ethnicity,5,10000,10000
79,79,2010,Cerebrovascular Disease (Stroke: I60-I69),M,Black Non-Hispanic,171,20.1,23.9
80,80,2008,Influenza (Flu) and Pneumonia (J09-J18),F,Other Race/ Ethnicity,0,10000,10000
81,81,2013,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Asian and Pacific Islander,63,11.4,12.8
82,82,2009,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Other Race/ Ethnicity,0,10000,10000
83,83,2007,Diabetes Mellitus (E10-E14),F,Asian and Pacific Islander,34,6.6,8.3
84,84,2011,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Not Stated/Unknown,62,10000,10000
85,85,2009,"Essential Hypertension and Renal Diseases (I10, I12)",M,White Non-Hispanic,148,11,9.1
86,86,2008,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",F,Black Non-Hispanic,71,6.8,6.3
87,87,2014,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",F,Not Stated/Unknown,6,10000,10000
88,88,2014,"Essential Hypertension and Renal Diseases (I10, I12)",F,White Non-Hispanic,180,12.7,6.7
89,89,2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Black Non-Hispanic,2725,260.1,243.6
90,90,2008,"Assault (Homicide: Y87.1, X85-Y09)",M,Not Stated/Unknown,8,10000,10000
91,91,2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Black Non-Hispanic,87,8.3,8.1
92,92,2008,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Hispanic,186,16.8,20.6
93,93,2011,Malignant Neoplasms (Cancer: C00-C97),M,White Non-Hispanic,3222,241.6,206.1
94,94,2011,Alzheimer's Disease (G30),F,White Non-Hispanic,231,16.3,7.2
95,95,2009,All Other Causes,F,White Non-Hispanic,1684,117.2,77.2
96,96,2010,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Other Race/ Ethnicity,50,10000,10000
97,97,2007,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,Asian and Pacific Islander,36,7.4,7.7
98,98,2007,Cerebrovascular Disease (Stroke: I60-I69),M,Asian and Pacific Islander,56,11.6,16.2
99,99,2010,Chronic Lower Respiratory Diseases (J40-J47),M,Other Race/ Ethnicity,5,10000,10000
100,100,2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Other Race/ Ethnicity,35,10000,10000
101,101,2007,All Other Causes,M,Other Race/ Ethnicity,24,10000,10000
102,102,2012,Diabetes Mellitus (E10-E14),F,Not Stated/Unknown,15,10000,10000
103,103,2010,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Not Stated/Unknown,10,10000,10000
104,104,2011,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,White Non-Hispanic,177,13.3,12
105,105,2008,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Hispanic,172,15.6,16.3
106,106,2011,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,White Non-Hispanic,272,20.4,18.1
107,107,2007,Diabetes Mellitus (E10-E14),M,Asian and Pacific Islander,47,9.7,13.6
108,108,2007,All Other Causes,F,Black Non-Hispanic,1230,116.8,113.4
109,109,2008,Cerebrovascular Disease (Stroke: I60-I69),M,Hispanic,124,11.2,18.8
110,110,2012,Diabetes Mellitus (E10-E14),M,Black Non-Hispanic,308,36,42.9
111,111,2007,All Other Causes,F,Hispanic,820,70.2,85.6
112,112,2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Not Stated/Unknown,0,10000,10000
113,113,2008,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Asian and Pacific Islander,53,10.6,12.2
114,114,2010,"Essential Hypertension and Renal Diseases (I10, I12)",F,White Non-Hispanic,219,15.3,7.7
115,115,2009,Malignant Neoplasms (Cancer: C00-C97),F,Other Race/ Ethnicity,19,10000,10000
116,116,2013,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Not Stated/Unknown,21,10000,10000
117,117,2013,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,White Non-Hispanic,286,21.2,19.5
118,118,2007,Cerebrovascular Disease (Stroke: I60-I69),F,Black Non-Hispanic,279,26.5,25.3
119,119,2012,Cerebrovascular Disease (Stroke: I60-I69),M,Other Race/ Ethnicity,7,10000,10000
120,120,2010,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Asian and Pacific Islander,54,10.4,13.7
121,121,2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Not Stated/Unknown,86,10000,10000
122,122,2008,Influenza (Flu) and Pneumonia (J09-J18),F,Asian and Pacific Islander,73,13.7,19.1
123,123,2013,Influenza (Flu) and Pneumonia (J09-J18),M,Asian and Pacific Islander,102,18.4,26.8
124,124,2011,"Essential Hypertension and Renal Diseases (I10, I12)",F,White Non-Hispanic,199,14,6.8
125,125,2008,Cerebrovascular Disease (Stroke: I60-I69),F,Black Non-Hispanic,267,25.5,23.6
126,126,2010,"Essential Hypertension and Renal Diseases (I10, I12)",M,Asian and Pacific Islander,30,5.8,8.7
127,127,2013,All Other Causes,M,Asian and Pacific Islander,395,71.3,89.8
128,128,2012,Malignant Neoplasms (Cancer: C00-C97),F,Black Non-Hispanic,1912,182.9,159.1
129,129,2007,Influenza (Flu) and Pneumonia (J09-J18),F,Not Stated/Unknown,0,10000,10000
130,130,2008,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Not Stated/Unknown,13,10000,10000
131,131,2008,Diabetes Mellitus (E10-E14),F,Not Stated/Unknown,12,10000,10000
132,132,2010,Diabetes Mellitus (E10-E14),F,Black Non-Hispanic,384,36.6,33
133,133,2014,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Black Non-Hispanic,196,22.7,21.7
134,134,2014,Malignant Neoplasms (Cancer: C00-C97),M,White Non-Hispanic,3142,234,195.1
135,135,2012,Malignant Neoplasms (Cancer: C00-C97),F,Hispanic,1125,90.8,100.5
136,136,2009,Cerebrovascular Disease (Stroke: I60-I69),F,Black Non-Hispanic,245,23.4,21.3
137,137,2007,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Black Non-Hispanic,163,19.1,19
138,138,2013,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",F,Not Stated/Unknown,6,10000,10000
139,139,2012,All Other Causes,M,White Non-Hispanic,2316,172.9,145.7
140,140,2014,Malignant Neoplasms (Cancer: C00-C97),M,Black Non-Hispanic,1532,177.5,199.6
141,141,2008,Malignant Neoplasms (Cancer: C00-C97),M,Not Stated/Unknown,60,10000,10000
142,142,2012,Chronic Lower Respiratory Diseases (J40-J47),F,Asian and Pacific Islander,39,6.7,8
143,143,2009,Cerebrovascular Disease (Stroke: I60-I69),M,Black Non-Hispanic,154,18.1,22.8
144,144,2014,Alzheimer's Disease (G30),F,Black Non-Hispanic,123,11.7,9.2
145,145,2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Other Race/ Ethnicity,43,10000,10000
146,146,2010,Malignant Neoplasms (Cancer: C00-C97),F,Black Non-Hispanic,1768,168.6,151.8
147,147,2012,Malignant Neoplasms (Cancer: C00-C97),M,Asian and Pacific Islander,622,115.1,138.4
148,148,2007,Aortic Aneurysm and Dissection (I71),F,Not Stated/Unknown,0,10000,10000
149,149,2014,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Not Stated/Unknown,10,10000,10000
150,150,2009,All Other Causes,F,Hispanic,775,64.7,75.3
151,151,2012,Diabetes Mellitus (E10-E14),M,Asian and Pacific Islander,76,14.1,18
152,152,2012,"Congenital Malformations, Deformations, and Chromosomal Abnormalities (Q00-Q99)",F,Other Race/ Ethnicity,0,10000,10000
153,153,2009,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,White Non-Hispanic,6297,438.3,226.2
154,154,2009,All Other Causes,M,Hispanic,1067,95,138.1
155,155,2014,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,White Non-Hispanic,258,19.2,16.4
156,156,2008,"Assault (Homicide: Y87.1, X85-Y09)",M,Other Race/ Ethnicity,5,10000,10000
157,157,2008,Influenza (Flu) and Pneumonia (J09-J18),M,White Non-Hispanic,529,39.4,32.7
158,158,2007,Influenza (Flu) and Pneumonia (J09-J18),M,Other Race/ Ethnicity,7,10000,10000
159,159,2013,Septicemia (A40-A41),F,Asian and Pacific Islander,16,2.7,2.9
160,160,2014,Alzheimer's Disease (G30),F,Not Stated/Unknown,0,10000,10000
161,161,2010,All Other Causes,F,Other Race/ Ethnicity,27,10000,10000
162,162,2014,Influenza (Flu) and Pneumonia (J09-J18),M,White Non-Hispanic,502,37.4,29.7
163,163,2011,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Hispanic,1201,104.2,180.8
164,164,2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,White Non-Hispanic,5503,410,342.3
165,165,2007,Certain Conditions originating in the Perinatal Period (P00-P96),F,Other Race/ Ethnicity,0,10000,10000
166,166,2012,All Other Causes,M,Asian and Pacific Islander,333,61.6,79.7
167,167,2008,Diabetes Mellitus (E10-E14),F,Asian and Pacific Islander,47,8.8,11.3
168,168,2012,All Other Causes,F,Asian and Pacific Islander,327,56,65
169,169,2009,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",F,Black Non-Hispanic,75,7.2,6.7
170,170,2009,Chronic Lower Respiratory Diseases (J40-J47),M,Asian and Pacific Islander,51,10,16.9
171,171,2012,Malignant Neoplasms (Cancer: C00-C97),F,Asian and Pacific Islander,461,78.9,83.8
172,172,2013,Cerebrovascular Disease (Stroke: I60-I69),F,Not Stated/Unknown,14,10000,10000
173,173,2009,Malignant Neoplasms (Cancer: C00-C97),M,Black Non-Hispanic,1557,183.4,228.8
174,174,2012,Cerebrovascular Disease (Stroke: I60-I69),F,Not Stated/Unknown,9,10000,10000
175,175,2013,Influenza (Flu) and Pneumonia (J09-J18),F,Hispanic,204,16.3,18.5
176,176,2009,Alzheimer's Disease (G30),F,Hispanic,56,4.7,6.2
177,177,2013,"Essential Hypertension and Renal Diseases (I10, I12)",F,Black Non-Hispanic,240,23,18.9
178,178,2007,Malignant Neoplasms (Cancer: C00-C97),F,Black Non-Hispanic,1800,171,161.7
179,179,2010,Influenza (Flu) and Pneumonia (J09-J18),F,Black Non-Hispanic,275,26.2,23.6
180,180,2009,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Other Race/ Ethnicity,38,10000,10000
181,181,2009,"Congenital Malformations, Deformations, and Chromosomal Abnormalities (Q00-Q99)",F,Other Race/ Ethnicity,0,10000,10000
182,182,2011,Chronic Lower Respiratory Diseases (J40-J47),F,Black Non-Hispanic,221,21.1,18.6
183,183,2013,Chronic Lower Respiratory Diseases (J40-J47),M,Hispanic,142,12,20
184,184,2011,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",F,Asian and Pacific Islander,21,3.7,3.7
185,185,2007,All Other Causes,M,Hispanic,988,90.6,142.6
186,186,2012,Influenza (Flu) and Pneumonia (J09-J18),F,Hispanic,209,16.9,19.6
187,187,2010,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Hispanic,79,6.5,6.5
188,188,2010,Diabetes Mellitus (E10-E14),M,Hispanic,187,16.4,27.3
189,189,2013,Diabetes Mellitus (E10-E14),M,Other Race/ Ethnicity,17,10000,10000
190,190,2008,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",F,Asian and Pacific Islander,26,4.9,4.5
191,191,2014,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,White Non-Hispanic,4507,318,161
192,192,2010,Cerebrovascular Disease (Stroke: I60-I69),F,Other Race/ Ethnicity,0,10000,10000
193,193,2011,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,Not Stated/Unknown,0,10000,10000
194,194,2007,"Assault (Homicide: Y87.1, X85-Y09)",M,Black Non-Hispanic,267,31.3,31.1
195,195,2008,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,White Non-Hispanic,227,16.9,15.5
196,196,2014,All Other Causes,M,Not Stated/Unknown,96,10000,10000
197,197,2007,"Assault (Homicide: Y87.1, X85-Y09)",M,Other Race/ Ethnicity,0,10000,10000
198,198,2007,Malignant Neoplasms (Cancer: C00-C97),F,Other Race/ Ethnicity,22,10000,10000
199,199,2014,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Other Race/ Ethnicity,10,10000,10000
200,200,2011,Malignant Neoplasms (Cancer: C00-C97),M,Hispanic,1144,99.2,157.7
201,201,2007,Certain Conditions originating in the Perinatal Period (P00-P96),F,Not Stated/Unknown,0,10000,10000
202,202,2014,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,White Non-Hispanic,314,23.4,21.4
203,203,2013,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",F,Other Race/ Ethnicity,5,10000,10000
204,204,2014,Influenza (Flu) and Pneumonia (J09-J18),F,White Non-Hispanic,563,39.7,20.4
205,205,2012,Influenza (Flu) and Pneumonia (J09-J18),M,Asian and Pacific Islander,76,14.1,20.9
206,206,2007,All Other Causes,F,Asian and Pacific Islander,182,35.3,44.6
207,207,2012,"Essential Hypertension and Renal Diseases (I10, I12)",F,Asian and Pacific Islander,39,6.7,7.8
208,208,2014,Chronic Lower Respiratory Diseases (J40-J47),M,White Non-Hispanic,399,29.7,24
209,209,2013,Influenza (Flu) and Pneumonia (J09-J18),M,Black Non-Hispanic,274,31.9,40
210,210,2011,"Assault (Homicide: Y87.1, X85-Y09)",F,Not Stated/Unknown,0,10000,10000
211,211,2012,All Other Causes,F,White Non-Hispanic,2444,172.3,105.1
212,212,2013,Diabetes Mellitus (E10-E14),F,Not Stated/Unknown,15,10000,10000
213,213,2012,Alzheimer's Disease (G30),F,Other Race/ Ethnicity,0,10000,10000
214,214,2012,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Asian and Pacific Islander,402,68.8,81.2
215,215,2013,All Other Causes,M,Not Stated/Unknown,139,10000,10000
216,216,2012,Chronic Lower Respiratory Diseases (J40-J47),M,Black Non-Hispanic,184,21.5,27.3
217,217,2014,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",F,Black Non-Hispanic,90,8.6,7.1
218,218,2011,Cerebrovascular Disease (Stroke: I60-I69),F,Black Non-Hispanic,281,26.8,23.6
219,219,2010,"Essential Hypertension and Renal Diseases (I10, I12)",F,Hispanic,95,7.8,9.5
220,220,2011,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Hispanic,1348,110,131.8
221,221,2012,"Essential Hypertension and Renal Diseases (I10, I12)",M,Black Non-Hispanic,143,16.7,21.3
222,222,2010,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Hispanic,189,16.5,18.4
223,223,2007,Influenza (Flu) and Pneumonia (J09-J18),F,White Non-Hispanic,659,45.9,23.2
224,224,2014,Diabetes Mellitus (E10-E14),M,Asian and Pacific Islander,71,12.4,14.2
225,225,2011,"Essential Hypertension and Renal Diseases (I10, I12)",M,Not Stated/Unknown,0,10000,10000
226,226,2013,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Hispanic,122,10.3,11.3
227,227,2007,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Not Stated/Unknown,10,10000,10000
228,228,2013,Cerebrovascular Disease (Stroke: I60-I69),F,White Non-Hispanic,427,30,16.4
229,229,2008,Malignant Neoplasms (Cancer: C00-C97),F,Black Non-Hispanic,1756,167.6,156.3
230,230,2009,Diabetes Mellitus (E10-E14),F,Hispanic,215,18,22.2
231,231,2011,"Essential Hypertension and Renal Diseases (I10, I12)",F,Not Stated/Unknown,0,10000,10000
232,232,2010,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Hispanic,150,13.1,17.6
233,233,2014,Malignant Neoplasms (Cancer: C00-C97),F,Asian and Pacific Islander,502,80.2,80.6
234,234,2013,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",F,Hispanic,63,5,4.9
235,235,2010,Influenza (Flu) and Pneumonia (J09-J18),F,White Non-Hispanic,707,49.4,24.8
236,236,2007,Influenza (Flu) and Pneumonia (J09-J18),M,Hispanic,189,17.3,36.7
237,237,2008,Diabetes Mellitus (E10-E14),F,Black Non-Hispanic,380,36.3,34.3
238,238,2011,All Other Causes,M,Hispanic,1207,104.7,151.1
239,239,2010,Diabetes Mellitus (E10-E14),F,Not Stated/Unknown,5,10000,10000
240,240,2009,"Essential Hypertension and Renal Diseases (I10, I12)",F,Hispanic,84,7,8.8
241,241,2011,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Black Non-Hispanic,277,32.5,31.8
242,242,2008,"Essential Hypertension and Renal Diseases (I10, I12)",M,White Non-Hispanic,165,12.3,10.3
243,243,2013,Malignant Neoplasms (Cancer: C00-C97),F,Asian and Pacific Islander,467,77.8,79.6
244,244,2013,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Asian and Pacific Islander,531,95.8,123.7
245,245,2011,Diabetes Mellitus (E10-E14),M,White Non-Hispanic,258,19.3,16.3
246,246,2009,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,White Non-Hispanic,221,16.4,14.8
247,247,2013,All Other Causes,F,Not Stated/Unknown,79,10000,10000
248,248,2011,Malignant Neoplasms (Cancer: C00-C97),M,Asian and Pacific Islander,550,104.1,130.4
249,249,2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,White Non-Hispanic,5632,421,350.7
250,250,2010,Diabetes Mellitus (E10-E14),M,White Non-Hispanic,245,18.3,15.6
251,251,2008,Influenza (Flu) and Pneumonia (J09-J18),F,Black Non-Hispanic,318,30.4,28.6
252,252,2013,"Essential Hypertension and Renal Diseases (I10, I12)",M,Other Race/ Ethnicity,5,10000,10000
253,253,2009,Alzheimer's Disease (G30),F,Other Race/ Ethnicity,0,10000,10000
254,254,2009,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Hispanic,170,15.1,17.9
255,255,2014,Alzheimer's Disease (G30),F,Hispanic,142,11.2,12.5
256,256,2009,"Essential Hypertension and Renal Diseases (I10, I12)",M,Black Non-Hispanic,131,15.4,19
